"country","productname","totalordered"
"(not set)","26 oz Double Wall Insulated Bottle",845
"Argentina","1 oz Hand Sanitizer",762
"Armenia","Windup Android",1351
"Australia","1 oz Hand Sanitizer",381
"Austria","Android Wool Heather Cap Heather/Black",168
"Bangladesh","Android Men's Short Sleeve Hero Tee White",71
"Belarus","Android Men's Short Sleeve Hero Tee Heather",353
"Belgium","20 oz Stainless Steel Insulated Tumbler",499
"Bolivia","Android Men's Short Sleeve Hero Tee Heather",353
"Botswana","Waterproof Backpack",215
"Brazil","1 oz Hand Sanitizer",762
"Bulgaria","20 oz Stainless Steel Insulated Tumbler",499
"Cambodia","Micro Wireless Earbud",185
"Canada","1 oz Hand Sanitizer",762
"Chile","1 oz Hand Sanitizer",381
"China","22 oz Android Bottle",597
"Colombia","Aluminum Handy Emergency Flashlight",66
"Costa Rica","Pen Pencil & Highlighter Set",1067
"Croatia","Android Rise 14 oz Mug",306
"Cyprus","Suitcase Organizer Cubes",295
"Czechia","Android 17oz Stainless Steel Sport Bottle",210
"Denmark","26 oz Double Wall Insulated Bottle",845
"Dominican Republic","Bottle Opener Clip",362
"Ecuador","Android Men's  Zip Hoodie",32
"Egypt","Android Men's Short Sleeve Hero Tee White",71
"El Salvador","Android Men's  Zip Hoodie",32
"Estonia","22 oz Android Bottle",597
"Finland","Android Onesie Gold",76
"France","1 oz Hand Sanitizer",381
"Germany","1 oz Hand Sanitizer",381
"Greece","20 oz Stainless Steel Insulated Tumbler",499
"Guatemala","Android Men's Long Sleeve Badge Crew Tee Heather",193
"Hong Kong","23 oz Wide Mouth Sport Bottle",402
"Hungary","Android Men's  Zip Hoodie",32
"India","1 oz Hand Sanitizer",381
"Indonesia","8 pc Android Sticker Sheet",336
"Iraq","Android 5-Panel Low Cap",7
"Ireland","20 oz Stainless Steel Insulated Tumbler",499
"Israel","22 oz Android Bottle",597
"Italy","26 oz Double Wall Insulated Bottle",845
"Japan","20 oz Stainless Steel Insulated Tumbler",499
"Kazakhstan","Collapsible Shopping Bag",1184
"Kuwait","Waterproof Backpack",215
"Kyrgyzstan","Rocket Flashlight",123
"Latvia","UpCycled Handlebar Bag",76
"Malaysia","26 oz Double Wall Insulated Bottle",845
"Mexico","20 oz Stainless Steel Insulated Tumbler",499
"Netherlands","1 oz Hand Sanitizer",381
"New Zealand","Android Sticker Sheet Ultra Removable",363
"Nicaragua","Compact Selfie Stick",268
"Nigeria","Keyboard DOT Sticker",480
"Norway","Android Luggage Tag",22
"Pakistan","22 oz Android Bottle",597
"Panama","Android Lunch Kit",107
"Peru","Android Rise 14 oz Mug",306
"Philippines","1 oz Hand Sanitizer",381
"Poland","20 oz Stainless Steel Insulated Tumbler",998
"Portugal","Android Luggage Tag",22
"Puerto Rico","Android Men's Short Sleeve Tri-blend Hero Tee Grey",22
"Romania","8 pc Android Sticker Sheet",336
"Russia","26 oz Double Wall Insulated Bottle",845
"Saudi Arabia","Android Men's Short Sleeve Hero Tee White",71
"Serbia","Android Spiral Journal with Pen",665
"Singapore","1 oz Hand Sanitizer",381
"Slovakia","25L Classic Rucksack",117
"Slovenia","Electronics Accessory Pouch",330
"South Africa","Android Wool Heather Cap Heather/Black",168
"South Korea","1 oz Hand Sanitizer",381
"Spain","26 oz Double Wall Insulated Bottle",845
"Sri Lanka","Android Men's Vintage Henley",180
"Sweden","Android Luggage Tag",22
"Switzerland","20 oz Stainless Steel Insulated Tumbler",499
"Taiwan","1 oz Hand Sanitizer",381
"Thailand","26 oz Double Wall Insulated Bottle",845
"Turkey","1 oz Hand Sanitizer",381
"Ukraine","22 oz Android Bottle",597
"United Arab Emirates","Android Men's  Zip Hoodie",32
"United Kingdom","1 oz Hand Sanitizer",762
"United States","1 oz Hand Sanitizer",14097
"Venezuela","26 oz Double Wall Insulated Bottle",845
"Vietnam","26 oz Double Wall Insulated Bottle",845
